# %ECSV 0.9
# ---
# datatype:
# - {name: m, datatype: int8}
# - {name: n, datatype: int8}
# - {name: wavelength, datatype: float32}
# - {name: int_mid_MJD_UTC, datatype: float64}
# - {name: int_mid_BJD_TDB, datatype: float64}
# - {name: flux(MJy/sr), datatype: float32}
# - {name: err(MJr/sr), datatype: float32}
# schema: astropy-2.0
m n wavelength int_mid_MJD_UTC int_mid_BJD_TDB flux(MJy/sr) err(MJr/sr)
0 0 2.478188 59694.20347004844 2459694.7071453533 7158657.5 43078975000000.0
0 0 2.479192 59694.20347004844 2459694.7071453533 7045108.0 53506233000000.0
0 0 2.480196 59694.20347004844 2459694.7071453533 6969719.0 21359155000000.0
0 0 2.4812 59694.20347004844 2459694.7071453533 6895003.5 10691318000000.0
0 0 2.482204 59694.20347004844 2459694.7071453533 6928654.5 21159888000000.0
0 0 2.483208 59694.20347004844 2459694.7071453533 7023222.5 52459810000000.0
0 0 2.484212 59694.20347004844 2459694.7071453533 6933294.5 31359158000000.0
0 0 2.485216 59694.20347004844 2459694.7071453533 6703368.0 10472443000000.0
0 0 2.48622 59694.20347004844 2459694.7071453533 6915387.0 122294060000.0
0 0 2.487224 59694.20347004844 2459694.7071453533 6837530.0 10367732000000.0
0 0 2.488228 59694.20347004844 2459694.7071453533 6793896.0 20505147000000.0
0 0 2.489232 59694.20347004844 2459694.7071453533 7074558.5 10272565000000.0
0 0 2.490236 59694.20347004844 2459694.7071453533 7051235.0 10220621000000.0
0 0 2.49124 59694.20347004844 2459694.7071453533 6993182.0 20203277000000.0
0 0 2.492244 59694.20347004844 2459694.7071453533 6984284.5 30079873000000.0
0 0 2.493248 59694.20347004844 2459694.7071453533 6967058.5 19994358000000.0
0 0 2.494252 59694.20347004844 2459694.7071453533 7027456.0 10012102000000.0
0 0 2.495256 59694.20347004844 2459694.7071453533 6908236.0 29626982000000.0
0 0 2.49626 59694.20347004844 2459694.7071453533 7009322.5 29480016000000.0
0 0 2.497264 59694.20347004844 2459694.7071453533 6834823.5 39065504000000.0
0 0 2.498268 59694.20347004844 2459694.7071453533 6861308.0 9812964000000.0
0 0 2.499272 59694.20347004844 2459694.7071453533 6882453.5 19783888000000.0
0 0 2.500276 59694.20347004844 2459694.7071453533 7028970.5 50156892000000.0
0 0 2.50128 59694.20347004844 2459694.7071453533 6983196.0 10087336000000.0
0 0 2.502284 59694.20347004844 2459694.7071453533 7097558.0 19972173000000.0
0 0 2.503288 59694.20347004844 2459694.7071453533 7040289.0 19886440000000.0
0 0 2.504292 59694.20347004844 2459694.7071453533 7063441.0 29650827000000.0
0 0 2.505296 59694.20347004844 2459694.7071453533 7081695.5 29543927000000.0
0 0 2.5063 59694.20347004844 2459694.7071453533 7037761.0 9899086000000.0
0 0 2.507304 59694.20347004844 2459694.7071453533 6983940.0 9865040000000.0
0 0 2.508308 59694.20347004844 2459694.7071453533 6911822.5 58380564000000.0
0 0 2.509312 59694.20347004844 2459694.7071453533 6955264.5 19494395000000.0
0 0 2.510316 59694.20347004844 2459694.7071453533 6834040.0 19435767000000.0
0 0 2.51132 59694.20347004844 2459694.7071453533 6878743.0 9756863000000.0
0 0 2.512324 59694.20347004844 2459694.7071453533 6893399.0 19349427000000.0
0 0 2.513328 59694.20347004844 2459694.7071453533 6859991.5 38493660000000.0
0 0 2.514332 59694.20347004844 2459694.7071453533 6872758.5 9697720000000.0
0 0 2.515336 59694.20347004844 2459694.7071453533 6846774.5 28792156000000.0
0 0 2.51634 59694.20347004844 2459694.7071453533 6910227.0 19200886000000.0
0 0 2.517344 59694.20347004844 2459694.7071453533 6813118.5 9638395000000.0
0 0 2.518348 59694.20347004844 2459694.7071453533 6815749.5 19126900000000.0
0 0 2.519352 59694.20347004844 2459694.7071453533 6750997.5 19088559000000.0
0 0 2.520356 59694.20347004844 2459694.7071453533 6820759.5 9585475000000.0
0 0 2.52136 59694.20347004844 2459694.7071453533 6764864.5 28449725000000.0
0 0 2.522364 59694.20347004844 2459694.7071453533 6878641.5 37812380000000.0
0 0 2.523368 59694.20347004844 2459694.7071453533 6981351.0 28329320000000.0
